Year,State,Population  < 72 months old,# of Children Tested,Total  #  of Children with Confirmed BLL ≥10 µg/dL,% of Children Tested with Confirmed BLLs ≥10 µg/dL,5-9 µg/dL,≥5 µg/dL,10-14 µg/dL,15-19 µg/dL,20-24 µg/dL,25-44 µg/dL,45-69 µg/dL,≥70 µg/dL
1997,Alabama,357087,22875,1501,0.0656,,,890,410,120,76,5,0
1998,Alabama,352409,17827,988,0.0554,,,586,250,85,61,6,0
1999,Alabama,349592,17660,549,0.0311,,,344,114,44,41,6,0
2000,Alabama,356676,13719,315,0.023,,,205,62,20,21,7,0
2001,Alabama,357111,12107,642,0.053,,,392,129,62,54,5,0
2002,Alabama,357111,22495,454,0.0202,,,257,103,51,38,4,1
2003,Alabama,355715,21307,503,0.0236,,,299,107,50,42,4,1
2004,Alabama,357382,12833,370,0.0288,,,207,99,35,26,3,0
2005,Alabama,360396,19043,260,0.0137,,,157,58,28,13,4,0
2006,Alabama,365075,31961,345,0.0107944056819248,,,225,68,29,21,2,0
2007,Alabama,370240,36428,269,0.00738442968577147,,,175,60,14,19,1,0
2008,Alabama,374378,39174,243,0.00620309403166175,,,158,59,12,13,1,0
2009,Alabama,377117,19493,204,0.0105,,,131,43,14,15,1,0
2010,Alabama,365443,17088,122,0.0071,968,1090,81,21,9,9,2,0
2011,Alabama,363869,22349,119,0.00532462308183312,989,1108,70,23,13,12,1,0
2012,Alabama,360597,14744,109,0.00739283766597509,547,656,65,26,11,6,1,0
2013,Alabama,356565,29671,119,0.00401065032929182,888,1007,73,24,10,8,3,1
2014,Alabama,355222,24408,127,0.00520321214571595,653,780,79,32,4,11,0,1
2015,Alabama,354230,21798,101,0.00463345274329186,523,624,59,21,10,10,1,0
1997,Arizona,437505,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A
1998,Arizona,451607,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A
1999,Arizona,462341,1929,168,0.0871,,,93,42,12,18,3,0
2000,Arizona,459141,7249,181,0.025,,,105,35,19,20,2,0
2001,Arizona,463085,8026,170,0.0212,,,109,34,10,17,0,0
2002,Arizona,463085,12005,227,0.0189,,,159,42,16,9,1,0
2003,Arizona,506655,705,229,0.3248,,,165,35,13,15,1,0
2004,Arizona,526883,5592,211,0.0377,,,141,40,11,18,1,0
2005,Arizona,553123,34653,210,0.0061,,,137,34,19,20,0,0
2006,Arizona,587953,48827,193,0.00395273107092387,,,115,29,27,20,1,1
2007,Arizona,605565,46979,113,0.00240533007308841,,,74,23,8,8,0,0
2008,Arizona,616345,60745,152,0.00250226352363825,,,98,20,14,19,1,0
2009,Arizona,619403,71380,164,0.0023,,,117,23,10,12,2,0
2010,Arizona,546609,68734,155,0.0023,810,965,95,30,11,15,4,0
2011,Arizona,534113,62292,79,0.00126822059974074,487,566,43,17,7,12,0,0
2012,Arizona,527769,61463,101,0.00164326513186097,649,750,64,22,6,9,0,0
2013,Arizona,522392,61959,80,0.00129117642063648,556,636,52,14,10,3,1,0
2014,Arizona,521060,52094,69,0.00132452871184796,494,563,41,12,7,8,1,0
2015,Arizona,521310,47339,92,0.00194342934992164,433,525,56,14,8,14,0,0
1997,California,3204502,12410,2275,0.1833,,,562,678,542,434,52,7
1998,California,3104123,11798,1847,0.1566,,,489,546,429,341,37,5
1999,California,3029049,10054,1549,0.1541,,,364,470,356,314,37,8
2000,California,3018386,12717,1476,0.1161,,,400,411,307,319,32,7
2001,California,3034623,15043,1402,0.0932,,,324,443,281,322,27,5
2002,California,3034623,21889,1570,0.0717,,,462,519,286,275,26,2
2003,California,3034623,233542,2558,0.011,,,1555,490,247,233,31,2
2004,California,3034623,306888,2284,0.0074,,,1301,486,239,239,17,2
2005,California,3159667,519169,5691,0.011,,,3392,1176,526,539,50,8
2006,California,3191914,513064,5571,0.0108582944817801,,,3217,1209,576,519,39,11
2007,California,3209321,506242,2013,0.00397635903209448,,,1246,413,171,163,19,1
2008,California,3252643,631521,1683,0.00266499444842339,,,1006,353,175,133,11,5
2009,California,3284693,642967,1402,0.00218051625415683,,,890,277,111,110,12,2
2010,California,3036508,627649,1290,0.00205528899095952,20385,21676,823,240,110,101,16,0
2011,California,3037143,565397,1156,0.00204458110965788,15485,16641,680,245,114,108,9,0
2012,California,3023709,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2013,California,3011879,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2014,LA County only,3014451,146192,362,0.0025,3195,3557,238,70,38,15,1,0
2015,LA County only,3017125,152112,393,0.0082,2598,2991,243,86,26,29,9,0
1997,Colorado,331728,5077,180,0.0355,,,108,36,16,17,2,1
1998,Colorado,339604,4151,125,0.0301,,,78,24,6,14,3,0
1999,Colorado,345246,3815,102,0.0267,,,64,20,10,7,1,0
2000,Colorado,359123,6606,112,0.017,,,71,21,7,12,1,0
2001,Colorado,370914,8984,113,0.0126,,,62,20,18,12,1,0
2002,Colorado,370914,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A
2003,Colorado,370914,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A
2004,Colorado,370914,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A
2005,Colorado,370914,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A
2006,Colorado,413949,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A
2007,Colorado,413949,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A
2008,Colorado,413949,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A
2009,Colorado,413949,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A
2010,Colorado,413949,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2011,Colorado,411855,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2012,Colorado,408722,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2013,Colorado,405810,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2014,Colorado,405720,16555,28,0.00169133185409009,N/A,373,14,8,2,2,2,0
2015,Colorado,406769,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1997,Connecticut,260336,22435,298,0.0133,,,196,54,26,20,2,0
1998,Connecticut,261163,60725,2410,0.0397,,,1284,523,293,275,31,4
1999,Connecticut,263845,65603,2155,0.0328,,,1246,460,219,196,31,3
2000,Connecticut,270187,64685,2371,0.0367,,,1353,514,258,218,26,2
2001,Connecticut,270763,67512,2026,0.03,,,1206,449,191,156,22,2
2002,Connecticut,270763,69670,1813,0.026,,,1059,392,186,157,14,5
2003,Connecticut,261945,69521,1589,0.0229,,,973,316,133,146,18,3
2004,Connecticut,260760,69910,1526,0.0218,,,936,298,131,141,19,1
2005,Connecticut,257471,69192,1310,0.0189,,,839,255,96,105,15,0
2006,Connecticut,257952,70631,1173,0.0166074386600784,,,724,220,102,102,24,1
2007,Connecticut,256698,73115,1077,0.0147302197292447,,,610,255,102,92,14,4
2008,Connecticut,255423,78058,1129,0.0144636044278741,,,646,247,105,107,23,1
2009,Connecticut,253975,85643,786,0.00917763262987137,,,461,162,75,70,16,2
2010,Connecticut,245428,82388,785,0.00952808652073145,5481,6266,459,162,65,92,7,0
2011,Connecticut,241912,67891,630,0.00927958078682423,3958,4588,368,144,57,52,9,0
2012,Connecticut,237873,75232,538,0.00715121207758784,3996,4534,329,93,44,61,8,3
2013,Connecticut,233754,21842,394,0.0180386416614056,1703,2097,228,82,38,41,5,0
2014,Connecticut,231071,75333,522,0.00692923413589597,3251,3773,303,119,38,52,9,1
2015,Connecticut,228774,68799,560,0.00813965313136578,2771,3331,321,109,57,60,12,1
1997,Delaware,59811,28,15,0.5357,,,1,1,6,4,3,0
1998,Delaware,59695,8881,245,0.0276,,,118,57,34,34,1,1
1999,Delaware,60211,10343,245,0.0237,,,109,56,36,40,4,0
2000,Delaware,62122,9648,231,0.0239,,,102,50,42,33,4,0
2001,Delaware,62380,14555,254,0.0175,,,127,80,20,25,2,0
2002,Delaware,62380,13008,253,0.0194,,,158,59,10,25,1,0
2003,Delaware,64227,11044,300,0.0272,,,206,41,34,17,2,0
2004,Delaware,65448,7388,133,0.018,,,73,31,15,14,0,0
2005,Delaware,67121,12961,60,0.0046,,,34,10,11,5,0,0
2006,Delaware,68824,11652,83,0.00712324064538277,,,50,16,11,6,0,0
2007,Delaware,69852,12358,25,0.00202298117801547,,,14,5,2,3,1,0
2008,Delaware,71068,12149,34,0.0027985842898488,,,17,6,4,5,1,1
2009,Delaware,71257,11989,45,0.00375344068743289,,,22,11,6,5,1,0
2010,Delaware,67146,11592,63,0.00543478270992637,371,434,41,11,2,7,2,0
2011,Delaware,67184,17440,91,0.00521788978949189,463,554,54,23,8,5,1,0
2012,Delaware,67317,10142,37,0.00364819564856589,204,241,27,5,3,1,1,0
2013,Delaware,67096,13600,47,0.00345588242635131,333,380,32,4,4,5,1,1
2014,Delaware,67153,13935,46,0.0033010405022651,269,315,27,9,7,3,0,0
2015,Delaware,67120,12321,51,0.00413927435874939,264,315,36,9,3,3,0,0
1997,District of Columbia,39660,183,131,0.7158,,,10,23,51,43,4,0
1998,District of Columbia,35348,6810,225,0.033,,,71,67,40,39,8,0
1999,District of Columbia,33320,11777,215,0.0183,,,84,57,35,37,2,0
2000,District of Columbia,39326,14040,175,0.0125,,,100,35,21,15,3,1
2001,District of Columbia,39356,16042,156,0.0097,,,73,33,15,33,2,0
2002,District of Columbia,39356,15755,122,0.0077,,,49,27,21,20,5,0
2003,District of Columbia,39298,9229,193,0.0209,,,87,70,16,18,1,1
2004,District of Columbia,39661,18280,327,0.0179,,,193,70,30,30,3,1
2005,District of Columbia,40625,15338,191,0.0125,,,127,30,13,20,1,0
2006,District of Columbia,41370,13133,179,0.0136297875580599,,,108,33,18,17,3,0
2007,District of Columbia,41644,12537,95,0.00757757062092423,,,57,21,10,6,1,0
2008,District of Columbia,42844,13328,87,0.00652761105448008,,,57,13,9,7,1,0
2009,District of Columbia,44063,12873,90,0.00699137710034847,,,51,16,10,12,1,0
2010,District of Columbia,38156,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2011,District of Columbia,41563,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2012,District of Columbia,44439,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2013,District of Columbia,46892,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2014,District of Columbia,48854,16405,50,0.00304785137996078,236,286,27,9,4,8,2,0
2015,District of Columbia,49926,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1997,Florida,1152887,38803,2347,0.0605,,,1592,486,142,109,13,5
1998,Florida,1154343,33803,2146,0.0635,,,1495,396,138,110,7,0
1999,Florida,1149495,34389,1509,0.0439,,,967,347,108,75,10,2
2000,Florida,1142293,45896,723,0.0158,,,467,149,40,58,9,0
2001,Florida,1149277,63382,643,0.0101,,,397,137,56,50,3,0
2002,Florida,1149277,70550,827,0.0117,,,526,158,71,60,9,3
2003,Florida,1221742,105831,774,0.0073,,,478,147,78,55,11,5
2004,Florida,1260302,121945,596,0.0049,,,383,121,44,44,3,1
2005,Florida,1305410,111492,307,0.0028,,,193,62,21,22,5,4
2006,Florida,1366028,114441,272,0.00237677056299753,,,175,48,21,24,3,1
2007,Florida,1380861,112206,596,0.00531165907159448,,,342,109,53,67,22,3
2008,Florida,1387027,214324,476,0.00222093658521771,,,298,105,35,34,4,0
2009,Florida,1391397,179845,223,0.00123995658941567,,,144,36,21,18,4,0
2010,Florida,1288261,203401,398,0.00195672595873475,7051,7449,274,71,23,23,7,0
2011,Florida,1291271,167844,215,0.00128095143008977,4948,5163,153,36,7,15,4,0
2012,Florida,1295134,177754,306,0.00172148016281426,3334,3640,200,46,22,27,2,9
2013,Florida,1296695,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2014,Florida,1310642,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2015,Florida,1328284,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1997,Georgia,673948,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A
1998,Georgia,685213,22496,445,0.0198,,,246,122,41,36,0,0
1999,Georgia,694317,20588,512,0.0249,,,283,131,42,49,7,0
2000,Georgia,714090,27609,466,0.0169,,,276,108,35,43,3,1
2001,Georgia,718870,33097,422,0.0128,,,267,90,26,38,0,1
2002,Georgia,718870,33620,295,0.0088,,,184,58,24,24,4,1
2003,Georgia,781188,53542,381,0.0071,,,221,86,37,33,1,3
2004,Georgia,803602,67379,316,0.0047,,,188,63,25,39,0,1
2005,Georgia,828572,73781,243,0.0033,,,145,52,20,23,3,0
2006,Georgia,862800,68110,194,0.00284833357803553,,,124,42,14,12,1,1
2007,Georgia,882924,66022,175,0.00265063159167767,,,106,41,13,14,1,0
2008,Georgia,894961,87683,202,0.00230375328101218,,,122,35,19,24,2,0
2009,Georgia,900315,115492,270,0.0023,,,167,46,25,29,2,1
2010,Georgia,825000,126982,247,0.0019,6121,6368,152,45,32,16,2,0
2011,Georgia,819058,118782,275,0.00231516570784152,4731,5006,172,46,27,25,5,0
2012,Georgia,812675,115423,234,0.00202732556499541,4132,4366,149,34,23,26,2,0
2013,Georgia,804603,104158,205,0.00196816376410425,2738,2943,126,46,14,17,2,0
2014,Georgia,802436,105246,157,0.00149174325633794,2427,2584,97,40,9,9,2,0
2015,Georgia,801068,94380,111,0.00117609661538154,1726,1837,64,29,7,9,1,1
1997,Illinois,1089142,171175,29992,0.1752,,,16843,7205,2827,2764,299,54
1998,Illinois,1071765,166330,24265,0.1459,,,14720,5096,2195,1965,242,47
1999,Illinois,1061071,173244,19636,0.1133,,,12121,4040,1664,1611,169,31
2000,Illinois,1059514,186736,17569,0.0941,,,10798,3607,1592,1379,156,37
2001,Illinois,1061668,187215,14765,0.0789,,,9032,3138,1262,1172,139,22
2002,Illinois,1061668,192167,12240,0.0637,,,7566,2518,1065,959,113,19
2003,Illinois,1054254,212128,16283,0.0768,,,10327,3273,1248,1288,119,28
2004,Illinois,1057879,115935,7338,0.0633,,,4660,1477,545,571,70,15
2005,Illinois,1059707,118216,5884,0.0498,,,3710,1135,490,484,54,11
2006,Illinois,1068210,128147,4638,0.0361928098199724,,,2933,925,373,344,55,8
2007,Illinois,1065273,120510,3794,0.0314828641712666,,,2250,741,346,392,57,8
2008,Illinois,1068806,137504,2947,0.0214321035891771,,,1684,622,266,322,42,11
2009,Illinois,1073254,146840,2645,0.018,,,1543,528,239,284,46,5
2010,Illinois,1005860,163119,2361,0.0144740957766771,13443,15804,1351,498,218,255,32,7
2011,Illinois,994484,172045,2030,0.0117992386221886,12705,14735,1137,444,186,207,52,4
2012,Illinois,981636,170714,2202,0.0128987664356828,13149,15353,1317,431,203,215,28,8
2013,Illinois,967588,161459,1743,0.0107953101396561,8434,10177,983,402,149,178,27,4
2014,Illinois,957585,155305,1663,0.0107079613953829,7290,8954,923,371,177,175,12,5
2015,Illinois,947170,132747,1517,0.0114277536049485,5962,7481,846,324,153,170,20,4
1997,Indiana,494918,28640,894,0.0312,,,534,181,88,72,16,3
1998,Indiana,495192,26563,733,0.0276,,,387,179,88,70,9,0
1999,Indiana,497865,26030,755,0.029,,,436,177,73,66,2,1
2000,Indiana,508845,25307,567,0.0224,,,343,117,60,41,5,1
2001,Indiana,509812,27442,599,0.0218,,,347,140,66,42,4,0
2002,Indiana,509812,29105,604,0.0208,,,351,138,48,58,6,3
2003,Indiana,512422,38498,629,0.0163,,,361,138,69,56,5,0
2004,Indiana,515932,40730,558,0.0137,,,372,103,42,32,9,0
2005,Indiana,518957,44257,567,0.0128,,,347,116,41,56,6,1
